name,building,county,Nearest_Street,latitude,longitude,Building_Sq_Ft,Roof_Sq_Ft,Roof_Sq_M,Annual_kWh,Annual_MWh,Daily_kWh,Households_Powered,Households_1mi,Households_3mi,EV_Stations_1mi,EV_Stations_3mi,Priority_Score,Annual_Class_BP,Household_Class_BP,EV_Class_BP,Carbon_Reduction_kgCO2,Carbon_Reduction_tonsCO2,Estimated_System_kW,Estimated_System_MW,Estimated_Solar_Cost_USD,Estimated_Solar_Cost_Million_USD
Retail on Lovers Lane,retail,"Dallas County, Texas",Lovers Lane,32.85087997919858,-96.80962588,26481.202423389183,17212.78,1599.0672619999998,513620.0,513.62,1407.2,39.1,5540,70897,1,40,0.0857,Low,Medium,Low,172063.0,172.06,319.81,0.32,639620.0,0.64
Retail on Lovers Lane,retail,"Dallas County, Texas",Lovers Lane,32.85089479011693,-96.81120079,23058.27526743044,14987.88,1392.374052,447231.0,447.23,1225.3,34.0,5539,69354,1,40,0.0853,Low,Medium,Low,149822.0,149.82,278.47,0.278,556940.0,0.557
Addison Circle One,office,"Dallas County, Texas",Dallas Parkway,32.96179390402077,-96.82225162,29981.46500407971,19487.95,1810.430555,581510.0,581.51,1593.2,44.2,12427,72097,10,41,0.1888,Low,High,Medium,194806.0,194.81,362.09,0.362,724180.0,0.724
TWO Addison Circle,office,"Dallas County, Texas",Dallas Parkway,32.96278229875571,-96.82233024,37259.69209099927,24218.8,2249.92652,722676.0,722.68,1979.9,54.9,12015,73132,10,40,0.1836,Low,High,Medium,242096.0,242.1,449.99,0.45,899980.0,0.9
Warehouse on Marquis Drive,warehouse,"Dallas County, Texas",Marquis Drive,32.9017158,-96.67261829,114068.68818893372,74144.65,6888.037984999999,2212438.0,2212.44,6061.5,168.2,2997,52211,0,5,0.0583,Medium,Low,Low,741167.0,741.17,1377.61,1.378,2755220.0,2.755
Industrial on South Shiloh Road,industrial,"Dallas County, Texas",South Shiloh Road,32.90287277864904,-96.66643495,231809.25492666088,150676.02,13997.802257999998,4496094.0,4496.09,12318.1,341.9,3331,48342,0,5,0.0774,High,Low,Low,1506191.0,1506.19,2799.56,2.8,5599120.0,5.599
Warehouse on Nicholson Road,warehouse,"Dallas County, Texas",Nicholson Road,32.90473153740332,-96.66803181,106831.7265745168,69440.62,6451.033597999999,2072072.0,2072.07,5676.9,157.5,3643,49535,0,5,0.0671,Medium,Low,Low,694144.0,694.14,1290.21,1.29,2580420.0,2.58
Warehouse on Nicholson Road,warehouse,"Dallas County, Texas",Nicholson Road,32.903289924538655,-96.66802456,67274.68417,43728.54,4062.381366,1304837.0,1304.84,3574.9,99.2,3391,49360,0,5,0.0586,Medium,Low,Low,437120.0,437.12,812.48,0.812,1624960.0,1.625
Warehouse on Nicholson Road,warehouse,"Dallas County, Texas",Nicholson Road,32.90614836812141,-96.66797184,58327.53337105326,37912.9,3522.10841,1131301.0,1131.3,3099.5,86.0,3874,49624,1,5,0.0647,Medium,Low,Low,378986.0,378.99,704.42,0.704,1408840.0,1.409
Warehouse on Marquis Drive,warehouse,"Dallas County, Texas",Marquis Drive,32.90167894,-96.67036208,62745.96821672312,40784.88,3788.915352,1217000.0,1217.0,3334.2,92.5,3041,50665,0,5,0.0528,Medium,Low,Low,407695.0,407.7,757.78,0.758,1515560.0,1.516
Kohl's,retail,"Dallas County, Texas",South Carrier Parkway,32.67809273507534,-97.00496679,87129.98012443286,56634.49,5261.344120999999,1689944.0,1689.94,4630.0,128.5,3441,31455,3,17,0.0617,Medium,Low,Medium,566131.0,566.13,1052.27,1.052,2104540.0,2.105
Simmons Ambulatory Surgery Center,commercial,"Dallas County, Texas",Harry Hines Boulevard,32.80998483014447,-96.83352848,39902.51322772876,25936.63,2409.512927,773936.0,773.94,2120.4,58.8,7554,74300,8,143,0.1174,Low,Medium,Medium,259269.0,259.27,481.9,0.482,963800.0,0.964
Commercial on White Rock Creek Trail,commercial,"Dallas County, Texas",White Rock Creek Trail,32.90541704959649,-96.76735571,30533.101873983604,19846.52,1843.741708,592210.0,592.21,1622.5,45.0,7643,71415,4,24,0.1176,Low,Medium,Medium,198390.0,198.39,368.75,0.369,737500.0,0.738
The Home Depot,retail,"Dallas County, Texas",North Coit Road,32.98226628700531,-96.76543811,121516.2966261876,78985.59,7337.761310999999,2356889.0,2356.89,6457.2,179.2,6807,52806,7,24,0.116,Medium,Medium,Medium,789558.0,789.56,1467.55,1.468,2935100.0,2.935
Addison Post Office,commercial,"Dallas County, Texas",Airport Parkway,32.96552633058969,-96.82794025,23605.119649291155,15343.33,1425.395357,457837.0,457.84,1254.3,34.8,9174,76251,9,40,0.1396,Low,Medium,Medium,153375.0,153.38,285.08,0.285,570160.0,0.57
United States Post Office,commercial,"Dallas County, Texas",East Jackson Road,32.97505158980755,-96.88636303,34640.64997290183,22516.42,2091.775418,671878.0,671.88,1840.8,51.1,4885,52885,0,17,0.077,Low,Medium,Low,225079.0,225.08,418.36,0.418,836720.0,0.837
Coppell Post Office,commercial,"Dallas County, Texas",South Denton Tap Road,32.95972810884898,-96.99260902,23636.17955525458,15363.52,1427.271008,458439.0,458.44,1256.0,34.9,3025,29519,0,13,0.0479,Low,Low,Low,153577.0,153.58,285.45,0.285,570900.0,0.571
Garland Post Office - North Station,commercial,"Dallas County, Texas",Belt Line Road,32.94399382500289,-96.66355067,32571.936396017707,21171.76,1966.856504,631754.0,631.75,1730.8,48.0,7162,45521,0,9,0.1107,Low,Medium,Low,211638.0,211.64,393.37,0.393,786740.0,0.787
Office Depot,commercial,"Dallas County, Texas",Greenville Avenue,32.84936091046451,-96.77088886,31008.725879880545,20155.67,1872.461743,601435.0,601.43,1647.8,45.7,12822,78811,2,18,0.1948,Low,High,Low,201481.0,201.48,374.49,0.374,748980.0,0.749
Commercial on North Central Expressway,commercial,"Dallas County, Texas",North Central Expressway,32.85005277108834,-96.77071294,21465.22554322943,13952.4,1296.17796,416332.0,416.33,1140.6,31.7,13182,78308,2,18,0.1991,Low,High,Low,139471.0,139.47,259.24,0.259,518480.0,0.518
Commercial on West Mockingbird Lane,commercial,"Dallas County, Texas",West Mockingbird Lane,32.83590587576587,-96.82874199,62725.60767,40771.64,3787.685356,1216605.0,1216.6,3333.2,92.5,7774,64359,7,72,0.1234,Medium,Medium,Medium,407563.0,407.56,757.54,0.758,1515080.0,1.515
United States Post Office,commercial,"Dallas County, Texas",Josey Lane,32.93471576516902,-96.88846517,22562.154168450907,14665.4,1362.41566,437608.0,437.61,1198.9,33.3,5006,34306,7,29,0.0773,Low,Medium,Medium,146599.0,146.6,272.48,0.272,544960.0,0.545
17Seventeen,commercial,"Dallas County, Texas",McKinney Avenue,32.78836834032912,-96.80462241,29132.60820828579,18936.2,1759.17298,565046.0,565.05,1548.1,43.0,19929,92583,85,130,0.3005,Low,High,High,189290.0,189.29,351.83,0.352,703660.0,0.704
Commercial on Edison Street,commercial,"Dallas County, Texas",Edison Street,32.79406091085627,-96.81733278,74670.51063,48535.83,4508.978607,1448284.0,1448.28,3967.9,110.1,12488,91140,35,138,0.1951,Medium,High,High,485175.0,485.18,901.8,0.902,1803600.0,1.804
Office on Slocum Street,office,"Dallas County, Texas",Slocum Street,32.79443318177027,-96.81780036,20933.81778899099,13606.98,1264.088442,406025.0,406.02,1112.4,30.9,12339,91005,33,139,0.1864,Low,High,High,136018.0,136.02,252.82,0.253,505640.0,0.506
Commercial on Oak Lawn Avenue,commercial,"Dallas County, Texas",Oak Lawn Avenue,32.79367385946827,-96.8202236,37979.01367155161,24686.36,2293.362844,736628.0,736.63,2018.2,56.0,10050,89696,22,137,0.1544,Low,Medium,High,246770.0,246.77,458.67,0.459,917340.0,0.917
Commercial on Oak Lawn Avenue,commercial,"Dallas County, Texas",Oak Lawn Avenue,32.79419416013305,-96.81927302,31337.49093984292,20369.37,1892.314473,607811.0,607.81,1665.2,46.2,11060,90268,28,138,0.1686,Low,High,High,203617.0,203.62,378.46,0.378,756920.0,0.757
Commercial on Oak Lawn Avenue,commercial,"Dallas County, Texas",Oak Lawn Avenue,32.794764161830805,-96.82035306,38437.762480402605,24984.55,2321.064695,745526.0,745.53,2042.5,56.7,10344,89725,19,139,0.1588,Low,Medium,High,249751.0,249.75,464.21,0.464,928420.0,0.928
Albertsons,retail,"Dallas County, Texas",Broadway Boulevard,32.846095100641016,-96.59393177,63262.89451863996,41120.88,3820.129752,1227026.0,1227.03,3361.7,93.3,5148,33073,1,4,0.0843,Medium,Medium,Low,411054.0,411.05,764.03,0.764,1528060.0,1.528
Office on Royal Ridge Parkway,office,"Dallas County, Texas",Royal Ridge Parkway,32.91784166097682,-96.99605681,45695.14371803396,29701.84,2759.300936,886287.0,886.29,2428.2,67.4,1611,21789,6,29,0.0295,Medium,Low,Medium,296906.0,296.91,551.86,0.552,1103720.0,1.104
Commercial on Bent Branch Drive,commercial,"Dallas County, Texas",Bent Branch Drive,32.918648295704365,-96.99074169,253381.67964566665,164698.09,15300.452560999998,4914505.0,4914.5,13464.4,373.7,1771,25885,6,25,0.0568,High,Low,Medium,1646359.0,1646.36,3060.09,3.06,6120180.0,6.12
Office on North Belt Line Road,office,"Dallas County, Texas",North Belt Line Road,32.91809326152548,-96.99295032,68408.48429811382,44465.51,4130.845879,1326828.0,1326.83,3635.1,100.9,1732,24436,5,25,0.034,Medium,Low,Medium,444487.0,444.49,826.17,0.826,1652340.0,1.652
Office on Royal Crossing,office,"Dallas County, Texas",Royal Crossing,32.919583552197864,-96.99776515,81388.25728964609,52902.37,4914.6301730000005,1578579.0,1578.58,4324.9,120.0,1474,20400,7,28,0.0317,Medium,Low,Medium,528824.0,528.82,982.93,0.983,1965860.0,1.966
Office on North Belt Line Road,office,"Dallas County, Texas",North Belt Line Road,32.917342196332456,-96.99453548,46251.11207182682,30063.22,2792.873138,897071.0,897.07,2457.7,68.2,1693,23079,6,29,0.0308,Medium,Low,Medium,300519.0,300.52,558.57,0.559,1117140.0,1.117
Retail on Regent Boulevard,retail,"Dallas County, Texas",Regent Boulevard,32.921315461887296,-96.99604625,30459.16033736208,19798.45,1839.276005,590775.0,590.78,1618.6,44.9,1478,22109,7,28,0.0257,Low,Low,Medium,197910.0,197.91,367.86,0.368,735720.0,0.736
Office on Royal Ridge Parkway,office,"Dallas County, Texas",Royal Ridge Parkway,32.91707233955161,-96.99599582,23035.239223412133,14972.91,1390.983339,446784.0,446.78,1224.1,34.0,1626,21748,6,30,0.027,Low,Low,Medium,149673.0,149.67,278.2,0.278,556400.0,0.556
Retail on West Pleasant Run Road,retail,"Dallas County, Texas",West Pleasant Run Road,32.60318958298591,-96.82005182,39281.474517283634,25532.96,2372.011984,761890.0,761.89,2087.4,57.9,3607,24733,1,4,0.0585,Low,Low,Low,255233.0,255.23,474.4,0.474,948800.0,0.949
Sam's Club,retail,"Dallas County, Texas",South Buckner Boulevard,32.79382955,-96.68705401,143932.80413299502,93556.32,8691.382128000001,2791672.0,2791.67,7648.4,212.3,5760,44824,2,3,0.1031,Medium,Medium,Low,935210.0,935.21,1738.28,1.738,3476560.0,3.477
Museum of Biblical Art,commercial,"Dallas County, Texas",Park Lane,32.87050536867382,-96.7771655,34280.126376014814,22282.08,2070.005232,664886.0,664.89,1821.6,50.6,8702,66375,4,14,0.1338,Low,Medium,Medium,222737.0,222.74,414.0,0.414,828000.0,0.828
Retail on Snider Plaza,retail,"Dallas County, Texas",Snider Plaza,32.84891078319877,-96.78753929,22583.752647174617,14679.44,1363.719976,438027.0,438.03,1200.1,33.3,6414,85987,1,28,0.0983,Low,Medium,Low,146739.0,146.74,272.74,0.273,545480.0,0.545
Commercial on Snider Plaza,commercial,"Dallas County, Texas",Snider Plaza,32.84891266166593,-96.78823905,23452.319761423496,15244.01,1416.168529,454873.0,454.87,1246.2,34.6,6161,86052,1,29,0.0946,Low,Medium,Low,152382.0,152.38,283.23,0.283,566460.0,0.566
Commercial on Boll Street,commercial,"Dallas County, Texas",Boll Street,32.79862197035855,-96.80244733,38436.24256896314,24983.56,2320.972724,745496.0,745.5,2042.5,56.7,25990,96607,66,131,0.392,Low,High,High,249741.0,249.74,464.19,0.464,928380.0,0.928
CoreSpace Dallas,commercial,"Dallas County, Texas",John W Carpenter Freeway,32.81755909168842,-96.87306493,31618.645817061886,20552.12,1909.291948,613265.0,613.26,1680.2,46.6,917,23228,10,42,0.0175,Low,Low,Medium,205444.0,205.44,381.86,0.382,763720.0,0.764
Retail on Coit Road,retail,"Dallas County, Texas",Coit Road,32.98137146,-96.76996411,31757.745366810635,20642.53,1917.691037,615962.0,615.96,1687.6,46.8,6962,54000,1,23,0.1076,Low,Medium,Low,206347.0,206.35,383.54,0.384,767080.0,0.767
Lennox,office,"Dallas County, Texas",Lake Park Boulevard,32.98051259495122,-96.76043218,46901.36750728891,30485.89,2832.139181,909683.0,909.68,2492.3,69.2,6064,52018,8,28,0.096,Medium,Medium,Medium,304744.0,304.74,566.43,0.566,1132860.0,1.133
Retail on East Mockingbird Lane,retail,"Dallas County, Texas",East Mockingbird Lane,32.83778193448419,-96.7510632,141394.89640550563,91906.68,8538.130571999998,2742448.0,2742.45,7513.6,208.5,5804,74960,1,12,0.1035,Medium,Medium,Low,918720.0,918.72,1707.63,1.708,3415260.0,3.415
Commercial on East Mockingbird Lane,commercial,"Dallas County, Texas",East Mockingbird Lane,32.83696122178645,-96.75165328,42173.37089663445,27412.69,2546.638901,817980.0,817.98,2241.0,62.2,5834,75682,1,11,0.092,Low,Medium,Low,274023.0,274.02,509.33,0.509,1018660.0,1.019
Commercial on East Mockingbird Lane,commercial,"Dallas County, Texas",East Mockingbird Lane,32.83583890496734,-96.75413114,39584.99407124491,25730.25,2390.340225,767777.0,767.78,2103.5,58.4,6514,77740,1,14,0.1018,Low,Medium,Low,257205.0,257.2,478.07,0.478,956140.0,0.956
Lute Riley Honda,commercial,"Dallas County, Texas",North Central Expressway,32.96626292047502,-96.72376581,36453.272941345815,23694.63,2201.231127,707035.0,707.04,1937.1,53.8,4045,48366,3,38,0.0647,Low,Medium,Medium,236857.0,236.86,440.25,0.44,880500.0,0.88
Commercial on North Denton Tap Road,commercial,"Dallas County, Texas",North Denton Tap Road,32.98871684956863,-96.99265884,20980.88424,13637.57,1266.930253,406938.0,406.94,1114.9,30.9,5356,36750,1,17,0.0823,Low,Medium,Low,136324.0,136.32,253.39,0.253,506780.0,0.507
Lowe's,retail,"Dallas County, Texas",North Galloway Avenue,32.82588212247576,-96.62119603,168700.6348309022,109655.41,10186.987589,3272060.0,3272.06,8964.5,248.8,5328,44480,2,6,0.0996,High,Medium,Low,1096140.0,1096.14,2037.4,2.037,4074800.0,4.075
Commercial on West Campbell Road,commercial,"Dallas County, Texas",West Campbell Road,32.974835288698586,-96.72025198,21961.6068837858,14275.04,1326.151216,425960.0,425.96,1167.0,32.4,4145,44484,10,39,0.0644,Low,Medium,Medium,142697.0,142.7,265.23,0.265,530460.0,0.53
Retail on Shady Brook Lane,retail,"Dallas County, Texas",Shady Brook Lane,32.87076045042527,-96.7631909,43279.34974037137,28131.58,2613.423782,839432.0,839.43,2299.8,63.8,15133,69915,5,13,0.2307,Medium,High,Medium,281210.0,281.21,522.68,0.523,1045360.0,1.045
Commercial on North Central Expressway,commercial,"Dallas County, Texas",North Central Expressway,32.98451343267456,-96.71320284,20138.612714798204,13090.1,1216.07029,390602.0,390.6,1070.1,29.7,5007,43288,10,47,0.077,Low,Medium,Medium,130852.0,130.85,243.21,0.243,486420.0,0.486
Commercial on North Collins Boulevard,commercial,"Dallas County, Texas",North Collins Boulevard,32.98217184407565,-96.71621192,49198.5618324296,31979.07,2970.855603,954239.0,954.24,2614.4,72.6,4820,43469,11,47,0.0777,Medium,Medium,Medium,319670.0,319.67,594.17,0.594,1188340.0,1.188
Waste Management,commercial,"Dallas County, Texas",North Business 45,32.55175951403017,-96.66745763,24840.718502984902,16146.47,1500.0070629999998,481802.0,481.8,1320.0,36.6,170,1840,0,2,0.0055,Low,Low,Low,161404.0,161.4,300.0,0.3,600000.0,0.6
Commercial on Golfing Green Drive,commercial,"Dallas County, Texas",Golfing Green Drive,32.93331007006475,-96.86258334,64776.64811847171,42104.82,3911.537778,1256386.0,1256.39,3442.2,95.5,6207,50250,4,45,0.1003,Medium,Medium,Medium,420889.0,420.89,782.31,0.782,1564620.0,1.565
Bank of America Building,commercial,"Dallas County, Texas",South State Highway 161,32.74046705511528,-97.01873084,21130.95393885852,13735.12,1275.992648,409849.0,409.85,1122.9,31.2,4254,30884,5,14,0.0659,Low,Medium,Medium,137299.0,137.3,255.2,0.255,510400.0,0.51
Target,retail,"Dallas County, Texas",West Interstate 20,32.67834759810049,-97.01006307,122437.39362070274,79584.31,7393.382398999999,2374754.0,2374.75,6506.2,180.6,3678,32691,4,18,0.0695,Medium,Low,Medium,795543.0,795.54,1478.68,1.479,2957360.0,2.957
The Home Depot,retail,"Dallas County, Texas",South Carrier Parkway,32.67878895339449,-97.00882458,118147.14263907532,76795.64,7134.314955999999,2291542.0,2291.54,6278.2,174.2,3629,32511,4,17,0.0683,Medium,Low,Medium,767667.0,767.67,1426.86,1.427,2853720.0,2.854
El Rio Grande Supermarket,retail,"Dallas County, Texas",South Center Street,32.74383747347588,-97.00386514,33746.65204237616,21935.32,2037.791228,654539.0,654.54,1793.3,49.8,3896,27060,4,11,0.0621,Low,Low,Medium,219271.0,219.27,407.56,0.408,815120.0,0.815
Retail on South Carrier Parkway,retail,"Dallas County, Texas",South Carrier Parkway,32.74030006989876,-97.01692559,48066.40901776336,31243.17,2902.490493,932280.0,932.28,2554.2,70.9,4257,30694,5,12,0.0692,Medium,Medium,Medium,312314.0,312.31,580.5,0.58,1161000.0,1.161
Retail on Conover Drive,retail,"Dallas County, Texas",Conover Drive,32.73914308936122,-97.01698455,45444.04742815518,29538.63,2744.138727,881417.0,881.42,2414.8,67.0,4173,31162,5,12,0.0676,Medium,Medium,Medium,295275.0,295.27,548.83,0.549,1097660.0,1.098
Army Navy Warehouse,retail,"Dallas County, Texas",East Main Street,32.74608394966341,-97.0009399,20390.54872818294,13253.86,1231.283594,395488.0,395.49,1083.5,30.1,3641,25447,4,10,0.0567,Low,Low,Medium,132488.0,132.49,246.26,0.246,492520.0,0.493
Retail on Crossland Boulevard,retail,"Dallas County, Texas",Crossland Boulevard,32.680167250000004,-97.0076945,20404.370008073725,13262.84,1232.117836,395756.0,395.76,1084.3,30.1,3614,32491,3,17,0.0563,Low,Low,Medium,132578.0,132.58,246.42,0.246,492840.0,0.493
Grand Prairie PREMIERE LUX Ciné 10 & Pizza Pub,retail,"Dallas County, Texas",East Westchester Parkway,32.67272034887958,-97.00382525,40473.293278452606,26307.64,2443.979756,785006.0,785.01,2150.7,59.7,3289,29806,3,17,0.0539,Low,Low,Medium,262977.0,262.98,488.8,0.489,977600.0,0.978
Wingfoot Dallas,warehouse,"Dallas County, Texas",Irving Boulevard,32.8070878,-96.86660656,57427.77729940779,37328.06,3467.7767739999995,1113850.0,1113.85,3051.6,84.7,1135,27089,4,51,0.0238,Medium,Low,Medium,373140.0,373.14,693.56,0.694,1387120.0,1.387
Commercial on Peterbilt Avenue,commercial,"Dallas County, Texas",Peterbilt Avenue,32.64298318161006,-96.78427465,22157.01682184041,14402.06,1337.951374,429750.0,429.75,1177.4,32.7,1247,19974,0,4,0.0212,Low,Low,Low,143966.0,143.97,267.59,0.268,535180.0,0.535
Retail on Wycliff Avenue,retail,"Dallas County, Texas",Wycliff Avenue,32.81047815302538,-96.81974094,20861.618148599147,13560.05,1259.728645,404625.0,404.62,1108.6,30.8,15891,88222,14,144,0.2394,Low,High,High,135549.0,135.55,251.95,0.252,503900.0,0.504
Office on Douglas Avenue,office,"Dallas County, Texas",Douglas Avenue,32.864485238742944,-96.80893653,22583.18591,14679.07,1363.685603,438016.0,438.02,1200.0,33.3,4248,56195,1,25,0.066,Low,Medium,Low,146735.0,146.74,272.74,0.273,545480.0,0.545
Industrial on Celestial Road,industrial,"Dallas County, Texas",Celestial Road,32.94632126688855,-96.81288082,35142.18576983912,22842.42,2122.060818,681606.0,681.61,1867.4,51.8,17258,63406,14,43,0.2614,Low,High,High,228338.0,228.34,424.41,0.424,848820.0,0.849
Retail on East FM 1382,retail,"Dallas County, Texas",East FM 1382,32.59925550286619,-96.94013977,79632.76052,51761.29,4808.623841,1544530.0,1544.53,4231.6,117.4,2322,20163,3,3,0.0442,Medium,Low,Medium,517418.0,517.42,961.72,0.962,1923440.0,1.923
Kroger,retail,"Dallas County, Texas",North Highway 67,32.598480399506926,-96.93950304,70656.74202479766,45926.88,4266.607152,1370434.0,1370.43,3754.6,104.2,2388,20128,3,3,0.0441,Medium,Low,Medium,459095.0,459.1,853.32,0.853,1706640.0,1.707
Retail on West FM 1382,retail,"Dallas County, Texas",West FM 1382,32.599790100923734,-96.94148998,29927.17402687181,19452.66,1807.152114,580457.0,580.46,1590.3,44.1,2208,19994,3,3,0.0365,Low,Low,Medium,194453.0,194.45,361.43,0.361,722860.0,0.723
Commercial on West FM 1382,commercial,"Dallas County, Texas",West FM 1382,32.60165888,-96.94263039,115677.37618886124,75190.29,6985.177940999999,2243639.0,2243.64,6147.0,170.6,2092,20143,3,3,0.045,Medium,Low,Medium,751619.0,751.62,1397.04,1.397,2794080.0,2.794
Retail on West Pleasant Run Road,retail,"Dallas County, Texas",West Pleasant Run Road,32.60233758960117,-96.9436332,20384.667591525675,13250.03,1230.927787,395374.0,395.37,1083.2,30.1,2012,20072,3,3,0.0324,Low,Low,Medium,132450.0,132.45,246.19,0.246,492380.0,0.492
Commercial on West Pleasant Run Road,commercial,"Dallas County, Texas",West Pleasant Run Road,32.60265450753166,-96.94279192,34271.19825203814,22276.28,2069.466412,664713.0,664.71,1821.1,50.5,2073,20315,3,3,0.035,Low,Low,Medium,222679.0,222.68,413.89,0.414,827780.0,0.828
Commercial on West Pleasant Run Road,commercial,"Dallas County, Texas",West Pleasant Run Road,32.602177097009545,-96.94148805,35127.66842199469,22832.98,2121.183842,681324.0,681.32,1866.6,51.8,2172,20496,3,3,0.0366,Low,Low,Medium,228244.0,228.24,424.24,0.424,848480.0,0.848
Commercial on East Pleasant Run Road,commercial,"Dallas County, Texas",East Pleasant Run Road,32.602124673345024,-96.94046433,32156.479805477207,20901.71,1941.768859,623696.0,623.7,1708.8,47.4,2247,20709,3,3,0.0373,Low,Low,Medium,208938.0,208.94,388.35,0.388,776700.0,0.777
Commercial on East Pleasant Run Road,commercial,"Dallas County, Texas",East Pleasant Run Road,32.60282945456409,-96.94111917,29452.459840551724,19144.1,1778.48689,571250.0,571.25,1565.1,43.4,2194,20712,3,3,0.0362,Low,Low,Medium,191369.0,191.37,355.7,0.356,711400.0,0.711
Commercial on West Pleasant Run Road,commercial,"Dallas County, Texas",West Pleasant Run Road,32.603378579874764,-96.94242695,44165.82438797016,28707.79,2666.953691,856626.0,856.63,2346.9,65.1,2099,20542,3,3,0.0366,Medium,Low,Medium,286970.0,286.97,533.39,0.533,1066780.0,1.067
Commercial on West Pleasant Run Road,commercial,"Dallas County, Texas",West Pleasant Run Road,32.603213456634215,-96.94354286,31349.55575640307,20377.21,1893.042809,608045.0,608.04,1665.9,46.2,2019,20271,3,3,0.0339,Low,Low,Medium,203695.0,203.7,378.61,0.379,757220.0,0.757
Commercial on West Wheatland Road,commercial,"Dallas County, Texas",West Wheatland Road,32.64955241046904,-96.87247731,223536.8197043409,145298.93,13498.270597,4335645.0,4335.65,11878.5,329.7,5379,33074,3,9,0.107,High,Medium,Medium,1452441.0,1452.44,2699.65,2.7,5399300.0,5.399
Retail on Kirnwood Drive,retail,"Dallas County, Texas",Kirnwood Drive,32.64821662062256,-96.87016647,28490.492373187084,18518.82,1720.398378,552592.0,552.59,1514.0,42.0,4985,32833,2,9,0.0777,Low,Medium,Low,185118.0,185.12,344.08,0.344,688160.0,0.688
The Home Depot,commercial,"Dallas County, Texas",West Wheatland Road,32.64838798534337,-96.86903658,110725.52210246124,71971.59,6686.160711,2147595.0,2147.59,5883.8,163.3,4834,32815,2,9,0.0853,Medium,Medium,Low,719444.0,719.44,1337.23,1.337,2674460.0,2.674
Commercial on Southwest 5th Street,commercial,"Dallas County, Texas",Southwest 5th Street,32.743163411260895,-97.00932737,24969.038139767355,16229.87,1507.754923,484291.0,484.29,1326.8,36.8,4274,28531,3,10,0.0667,Low,Medium,Medium,162237.0,162.24,301.55,0.302,603100.0,0.603
Retail on Gaston Avenue,retail,"Dallas County, Texas",Gaston Avenue,32.81313622284153,-96.72998376,63672.82928531589,41387.34,3844.883886,1234977.0,1234.98,3383.5,93.9,4346,55109,1,8,0.0724,Medium,Medium,Low,413717.0,413.72,768.98,0.769,1537960.0,1.538
Commercial on Gaston Avenue,commercial,"Dallas County, Texas",Gaston Avenue,32.81227516031393,-96.72977812,21843.31684,14198.16,1319.009064,423666.0,423.67,1160.7,32.2,4472,54759,1,8,0.0693,Low,Medium,Low,141928.0,141.93,263.8,0.264,527600.0,0.528
The Home Depot,retail,"Dallas County, Texas",East FM 1382,32.59405850349146,-96.93599417,114131.0160815126,74185.16,6891.801364,2213647.0,2213.65,6064.8,168.3,2721,19955,3,3,0.0542,Medium,Low,Medium,741572.0,741.57,1378.36,1.378,2756720.0,2.757
Retail on East FM 1382,retail,"Dallas County, Texas",East FM 1382,32.59312918198524,-96.93522545,63544.44083000222,41303.89,3837.131381,1232487.0,1232.49,3376.7,93.7,2786,19934,3,3,0.0491,Medium,Low,Medium,412883.0,412.88,767.43,0.767,1534860.0,1.535
Total Wine,retail,"Dallas County, Texas",East FM 1382,32.59091116190356,-96.93819529,35284.21777,22934.74,2130.637346,684361.0,684.36,1875.0,52.0,2724,19014,3,3,0.0448,Low,Low,Medium,229261.0,229.26,426.13,0.426,852260.0,0.852
Habitat for Humanity ReStore,retail,"Dallas County, Texas",North Hampton Road,32.77737787449663,-96.85559888,137343.91465328715,89273.54,8293.511865999999,2663876.0,2663.88,7298.3,202.5,4527,40002,3,65,0.0839,Medium,Medium,Medium,892398.0,892.4,1658.7,1.659,3317400.0,3.317
Macy's,retail,"Dallas County, Texas",Cedar Sage Drive,32.952044700000016,-96.60926945,69868.11602,45414.28,4218.986612,1355138.0,1355.14,3712.7,103.0,3172,32677,0,6,0.0557,Medium,Low,Low,453971.0,453.97,843.8,0.844,1687600.0,1.688
Dillard's,retail,"Dallas County, Texas",Horseshoe Drive,32.954782291858336,-96.61483901,99988.3669,64992.44,6037.797676,1939341.0,1939.34,5313.3,147.5,3209,34084,0,8,0.0598,Medium,Low,Low,649679.0,649.68,1207.56,1.208,2415120.0,2.415
Retail on North Highway 67,retail,"Dallas County, Texas",North Highway 67,32.601059800048496,-96.9371558,23294.34956503496,15141.33,1406.629557,451809.0,451.81,1237.8,34.4,2499,21207,2,3,0.04,Low,Low,Low,151356.0,151.36,281.33,0.281,562660.0,0.563
Commercial on North Highway 67,commercial,"Dallas County, Texas",North Highway 67,32.60590397511977,-96.9312216,30664.10869817764,19931.67,1851.652143,594751.0,594.75,1629.5,45.2,2756,23628,1,3,0.0448,Low,Low,Low,199242.0,199.24,370.33,0.37,740660.0,0.741
Commercial on Antoine Street,commercial,"Dallas County, Texas",Antoine Street,32.60593912038253,-96.93220005,20187.34714714488,13121.78,1219.013362,391547.0,391.55,1072.7,29.8,2708,23391,1,3,0.0428,Low,Low,Low,131168.0,131.17,243.8,0.244,487600.0,0.488
Commercial on East Pleasant Run Road,commercial,"Dallas County, Texas",East Pleasant Run Road,32.603828067845896,-96.93458734,22495.382411311683,14622.0,1358.3837999999998,436313.0,436.31,1195.4,33.2,2610,22386,1,3,0.0416,Low,Low,Low,146165.0,146.16,271.68,0.272,543360.0,0.543
