name,building,county,Nearest_Street,latitude,longitude,Building_Sq_Ft,Roof_Sq_Ft
Commercial on Dilbeck Lane,commercial,"Dallas County, Texas",Dilbeck Lane,32.92872866439271,-96.80078022,36353.28619140391,23629.64
Commercial on Thackery Street,commercial,"Dallas County, Texas",Thackery Street,32.86676878825856,-96.79354524,313173.5722110697,203562.82
Commercial on McKinney Avenue,commercial,"Dallas County, Texas",McKinney Avenue,32.799275353001256,-96.8014171,39454.79057445262,25645.61
Commercial on Crescent Court,commercial,"Dallas County, Texas",Crescent Court,32.79459506899461,-96.8044062,118817.6193135712,77231.45
Alfred Horatio Belo House,office,"Dallas County, Texas",Ross Avenue,32.78837300477723,-96.79871343,33674.64463,21888.52
Warehouse on Valley View Lane,warehouse,"Dallas County, Texas",Valley View Lane,32.91961747241488,-96.92424236,180553.71809034864,117359.92
The Centrum,commercial,"Dallas County, Texas",Oak Lawn Avenue,32.80915346677074,-96.8077561,108225.82736554185,70346.79
Commercial on Dickason Avenue,commercial,"Dallas County, Texas",Dickason Avenue,32.80696927519055,-96.80827826,24022.57472808828,15614.67
Commercial on Mockingbird Lane,commercial,"Dallas County, Texas",Mockingbird Lane,32.83639380144652,-96.80560028,47048.99533,30581.85
Commercial on Lomo Alto Drive,commercial,"Dallas County, Texas",Lomo Alto Drive,32.86130018578164,-96.81119488,30090.19680050333,19558.63
Commercial on Berkshire Lane,commercial,"Dallas County, Texas",Berkshire Lane,32.86493825094828,-96.80474899,54079.75042480425,35151.84
Commercial on North Greenville Avenue,commercial,"Dallas County, Texas",North Greenville Avenue,32.97803478863397,-96.70787057,50939.97024,33110.98
Commercial on North Bowser Road,commercial,"Dallas County, Texas",North Bowser Road,32.95515455,-96.7132349,40707.56666078163,26459.92
Commercial on International Parkway,commercial,"Dallas County, Texas",International Parkway,32.95794159002869,-96.70832955,46613.85529303048,30299.01
Commercial on East Arapaho Road,commercial,"Dallas County, Texas",East Arapaho Road,32.95898040562181,-96.70827591,44201.23042761826,28730.8
Commercial on East Arapaho Road,commercial,"Dallas County, Texas",East Arapaho Road,32.95988135040293,-96.70607509,79263.86221235368,51521.51
Commercial on Executive Drive East,commercial,"Dallas County, Texas",Executive Drive East,32.96273320009247,-96.70990146,35428.55014473862,23028.56
Commercial on International Parkway,commercial,"Dallas County, Texas",International Parkway,32.961322192523326,-96.70844069,53524.15592,34790.7
Commercial on North Bowser Road,commercial,"Dallas County, Texas",North Bowser Road,32.96138721462992,-96.71462177,47162.34635511941,30655.53
Commercial on East Arapaho Road,commercial,"Dallas County, Texas",East Arapaho Road,32.961315373126475,-96.70648278,52651.96336242783,34223.78
Commercial on Alma Road,commercial,"Dallas County, Texas",Alma Road,32.96224309154989,-96.71622131,44390.23845249571,28853.65
Commercial on International Parkway,commercial,"Dallas County, Texas",International Parkway,32.970808658799534,-96.70707676,69155.79427,44951.27
Commercial on North Glenville Drive,commercial,"Dallas County, Texas",North Glenville Drive,32.96926801170842,-96.70703847,39894.90246314574,25931.69
Promenade Shopping Center,commercial,"Dallas County, Texas",North Coit Road,32.95520054064879,-96.76809975,167125.76453810203,108631.75
Office on Gateway Boulevard,office,"Dallas County, Texas",Gateway Boulevard,32.97274210985721,-96.72206369,31565.442213603543,20517.54
Office on Gateway Boulevard,office,"Dallas County, Texas",Gateway Boulevard,32.97174369431906,-96.72206434,31776.67552731472,20654.84
The Plaza,commercial,"Dallas County, Texas",Richardson Drive,32.96751777663472,-96.72795188,49711.89644087618,32312.73
Commercial on Wisteria Way,commercial,"Dallas County, Texas",Wisteria Way,32.96399761904659,-96.75082875,52529.09040415675,34143.91
Kraft,industrial,"Dallas County, Texas",Forest Lane,32.90720558385896,-96.66341399,610072.7664390603,396547.3
Forum 3,office,"Dallas County, Texas",Belt Line Road,32.951918720606564,-96.84674063,47916.31557622161,31145.61
Office on Addison Road,office,"Dallas County, Texas",Addison Road,32.96935582015243,-96.82829103,57581.01359868545,37427.66
Storage Star Forest Lane,commercial,"Dallas County, Texas",Forest Lane,32.908539511261175,-96.88447078,79069.61326334414,51395.25
Southwest Kia Mesquite,retail,"Dallas County, Texas",Oates Drive,32.83856195001451,-96.63162427,32604.101227508498,21192.67
Commercial on Royal Lane,commercial,"Dallas County, Texas",Royal Lane,32.89552854,-96.89288359,29501.82343002631,19176.19
Commercial on North Central Expressway,commercial,"Dallas County, Texas",North Central Expressway,32.86285483863633,-96.76849218,27682.834564152123,17993.84
High Point Center,commercial,"Dallas County, Texas",Greenville Avenue,32.91435962245566,-96.74601286,41004.04369338787,26652.63
Good Coworking,commercial,"Dallas County, Texas",South Good-Latimer Expressway,32.77552699,-96.78079075,34116.45501287862,22175.7
Office on Montfort Drive,office,"Dallas County, Texas",Montfort Drive,32.93504185452204,-96.81559478,37731.69163339575,24525.6
Retail on Belt Line Road,retail,"Dallas County, Texas",Belt Line Road,32.95337234337669,-96.82117222,54287.75063422918,35287.04
Movement Design District,commercial,"Dallas County, Texas",Glass Street,32.790068539750294,-96.82331643,28890.183575191248,18778.62
Costco,retail,"Dallas County, Texas",Churchill Way,32.919557211653014,-96.7684286,153347.45731834063,99675.85
American Airlines Center,commercial,"Dallas County, Texas",Victory Avenue,32.79048501281591,-96.8102794,189856.3902560817,123406.65
Exchange Logistics,warehouse,"Dallas County, Texas",Glenfield Avenue,32.71868195286547,-96.87180395,115374.11656448776,74993.18
Commercial on Glenfield Avenue,commercial,"Dallas County, Texas",Glenfield Avenue,32.71867466092288,-96.86906686,116608.20517384766,75795.33
Warehouse on Glenfield Avenue,warehouse,"Dallas County, Texas",Glenfield Avenue,32.71726052502369,-96.87034547,197909.0576196344,128640.89
Warehouse on Hansboro Avenue,warehouse,"Dallas County, Texas",Hansboro Avenue,32.716211248095306,-96.87218777,74306.32326592403,48299.11
Commercial on South Lancaster Road,commercial,"Dallas County, Texas",South Lancaster Road,32.708571354405414,-96.80027496,183908.6725901141,119540.64
Warehouse on Miller Park North,warehouse,"Dallas County, Texas",Miller Park North,32.90666026066305,-96.67111975,279127.6296055547,181432.96
Warehouse on Miller Park North,warehouse,"Dallas County, Texas",Miller Park North,32.90489025000001,-96.6726102,330732.8055155796,214976.32
Warehouse on Miller Park North,warehouse,"Dallas County, Texas",Miller Park North,32.90499669152648,-96.66988678,231011.0773333101,150157.2
Warehouse on South International Road,warehouse,"Dallas County, Texas",South International Road,32.90273231940744,-96.67288938,251883.7839568804,163724.46
Warehouse on Loop 12 TEXpress,warehouse,"Dallas County, Texas",Loop 12 TEXpress,32.86982273,-96.89944349,135303.99580008065,87947.6
Warehouse on King William Drive,warehouse,"Dallas County, Texas",King William Drive,32.86778185,-96.8997672,113223.6535,73595.37
Warehouse on King William Drive,warehouse,"Dallas County, Texas",King William Drive,32.870200239811744,-96.90075389,119379.34510331044,77596.57
Warehouse on Goodnight Lane,warehouse,"Dallas County, Texas",Goodnight Lane,32.87263882458236,-96.90090835,143503.32413160737,93277.16
Commercial on Exhibit Terrace,commercial,"Dallas County, Texas",Exhibit Terrace,32.77982037962014,-96.75660956,58325.86683891274,37911.81
Commercial on Jackson Street,commercial,"Dallas County, Texas",Jackson Street,32.77782107111343,-96.80330722,42174.25394138834,27413.27
Commercial on South Market Street,commercial,"Dallas County, Texas",South Market Street,32.77551439265743,-96.8055489,55717.92814666559,36216.65
Industrial on Young Street,industrial,"Dallas County, Texas",Young Street,32.7751501,-96.80629657,65469.47775216728,42555.16
Warehouse on Miller Park South,warehouse,"Dallas County, Texas",Miller Park South,32.902912524900714,-96.67579358,288080.67472004413,187252.44
Warehouse on Marquis Drive,warehouse,"Dallas County, Texas",Marquis Drive,32.90162252520609,-96.67569704,153883.3206390392,100024.16
Academy Sports + Outdoors,retail,"Dallas County, Texas",Forest Central Drive,32.90653448416899,-96.76633775,57689.50033550211,37498.18
The Home Depot,commercial,"Dallas County, Texas",Forest Central Drive,32.907023155452364,-96.76481574,115372.3779309481,74992.05
The Container Store,warehouse,"Dallas County, Texas",Ruby Road,32.960743977156994,-97.01023057,1069891.7620363822,695429.65
Warehouse on Loch Lane,warehouse,"Dallas County, Texas",Loch Lane,32.95830104,-97.00916614,558296.3352858685,362892.62
Commercial on Saturn Drive,commercial,"Dallas County, Texas",Saturn Drive,32.683029316418256,-96.8650147,39117.72857178887,25426.52
Commercial on Saturn Drive,commercial,"Dallas County, Texas",Saturn Drive,32.685674168277224,-96.86493636,23296.15302596341,15142.5
Commercial on Woodhollow Drive,commercial,"Dallas County, Texas",Woodhollow Drive,32.67898442232267,-96.86276988,21051.422270886585,13683.42
Commercial on 1st Continental Place,commercial,"Dallas County, Texas",1st Continental Place,32.679929801579014,-96.86254742,35875.74158448853,23319.23
Commercial on Woodhollow Drive,commercial,"Dallas County, Texas",Woodhollow Drive,32.68000259490315,-96.86192348,20691.54113,13449.5
Commercial on 1st Continental Place,commercial,"Dallas County, Texas",1st Continental Place,32.68036570510581,-96.86260684,28574.302635882515,18573.3
Commercial on Woodhollow Drive,commercial,"Dallas County, Texas",Woodhollow Drive,32.680511677164695,-96.86300131,29782.69916270249,19358.75
Warehouse on International Parkway,warehouse,"Dallas County, Texas",International Parkway,32.857443971132525,-96.66197978,99376.16874838113,64594.51
Warehouse on International Parkway,warehouse,"Dallas County, Texas",International Parkway,32.85752898924832,-96.6639473,25032.04548165409,16270.83
12750 Perimeter,warehouse,"Dallas County, Texas",Perimeter Drive,32.86004631249099,-96.65980317,182736.28540913944,118778.59
Warehouse on Corporate Drive,warehouse,"Dallas County, Texas",Corporate Drive,32.86055468862437,-96.66207621,174291.14337818648,113289.24
Warehouse on Shiloh Road,warehouse,"Dallas County, Texas",Shiloh Road,32.85612353112676,-96.66682582,101469.01950919686,65954.86
Commercial on Alpha Road,commercial,"Dallas County, Texas",Alpha Road,32.93228755000001,-96.809336,51491.56508402797,33469.52
Warehouse on Pinnacle Point Drive,warehouse,"Dallas County, Texas",Pinnacle Point Drive,32.76072501007305,-96.88608931,332078.7275894353,215851.17
Warehouse on Pinnacle Point Drive,warehouse,"Dallas County, Texas",Pinnacle Point Drive,32.75866673336422,-96.88412414,1016860.7545689208,660959.49
Warehouse on Pinnacle Point Drive,warehouse,"Dallas County, Texas",Pinnacle Point Drive,32.76232983767438,-96.89078347,472430.7118225743,307079.96
Warehouse on North Cockrell Hill Road,warehouse,"Dallas County, Texas",North Cockrell Hill Road,32.761590570701685,-96.89347584,95275.10895219876,61928.82
Warehouse on North Cockrell Hill Road,warehouse,"Dallas County, Texas",North Cockrell Hill Road,32.76258932685527,-96.89285193,50968.448126391486,33129.49
Warehouse on North Cockrell Hill Road,warehouse,"Dallas County, Texas",North Cockrell Hill Road,32.76171069709222,-96.89255063,38966.96080890207,25328.52
Warehouse on North Cockrell Hill Road,warehouse,"Dallas County, Texas",North Cockrell Hill Road,32.76042232348517,-96.89714032,645544.2749220508,419603.78
Commercial on North Cockrell Hill Road,commercial,"Dallas County, Texas",North Cockrell Hill Road,32.76035361837558,-96.90070589,314988.861,204742.76
Warehouse on Pinnacle Point Drive,warehouse,"Dallas County, Texas",Pinnacle Point Drive,32.76120939147416,-96.88239609,442647.8501527758,287721.1
Warehouse on Rock Quarry Road,warehouse,"Dallas County, Texas",Rock Quarry Road,32.75297799214201,-96.88952529,360706.6501070012,234459.32
Warehouse on Rock Quarry Road,warehouse,"Dallas County, Texas",Rock Quarry Road,32.753024963585275,-96.88565993,253986.2455490837,165091.06
Warehouse on Rock Quarry Road,warehouse,"Dallas County, Texas",Rock Quarry Road,32.75347408730543,-96.88185427,247897.49866981985,161133.37
Central Garden & Pet,warehouse,"Dallas County, Texas",Rock Quarry Road,32.75117508,-96.88591632,480799.8505287462,312519.9
Warehouse on North Cockrell Hill Road,warehouse,"Dallas County, Texas",North Cockrell Hill Road,32.750947215381984,-96.89016398,137414.44771634464,89319.39
Warehouse on West Davis Street,warehouse,"Dallas County, Texas",West Davis Street,32.751871687191134,-96.87825208,321238.5732948951,208805.07
Warehouse on Pinnacle Point Drive,warehouse,"Dallas County, Texas",Pinnacle Point Drive,32.762868707232506,-96.88684152,557957.7512520248,362672.54
Warehouse on West Commerce Street,warehouse,"Dallas County, Texas",West Commerce Street,32.773586723406474,-96.85962281,176863.51843727927,114961.29
Warehouse on West Commerce Street,warehouse,"Dallas County, Texas",West Commerce Street,32.773591974441246,-96.86156945,96744.84189943096,62884.15
Warehouse on West Commerce Street,warehouse,"Dallas County, Texas",West Commerce Street,32.77424026367785,-96.86309829,85405.67211959967,55513.69
Town East Mall,retail,"Dallas County, Texas",Town East Mall,32.80762585819485,-96.62365783,802542.5875746203,521652.68
Commercial on Casa Linda Plaza,commercial,"Dallas County, Texas",Casa Linda Plaza,32.834051770390296,-96.69981789,102669.19645852812,66734.98
Commercial on Garland Road,commercial,"Dallas County, Texas",Garland Road,32.83391393172633,-96.70120607,20999.38163397491,13649.6
Commercial on North Buckner Boulevard,commercial,"Dallas County, Texas",North Buckner Boulevard,32.83500174,-96.70206281,63067.50265883527,40993.88
