name,building,Building_Sq_Ft,county,latitude,longitude
NorthPark Center,retail,1219856.7127600124,"Dallas County, Texas",32.868392671551504,-96.7734996
,industrial,1206588.614563642,"Dallas County, Texas",32.717253578622284,-97.03051183
,commercial,55279.42770110503,"Dallas County, Texas",32.97963631,-96.71573619
Unbridled Living of Dallas,commercial,115102.88998099345,"Dallas County, Texas",32.916451699751896,-96.77031007
,office,56623.911896393445,"Dallas County, Texas",32.92348512703183,-96.78524979
,commercial,49878.46556301347,"Dallas County, Texas",32.81739806484384,-96.86464146
,commercial,41797.77709083695,"Dallas County, Texas",32.82558068534255,-96.86589923
,industrial,157702.09362277616,"Dallas County, Texas",32.891586522314164,-96.90704528
,warehouse,54830.12136630043,"Dallas County, Texas",32.86798733245903,-96.88616042
,warehouse,225501.6964540892,"Dallas County, Texas",32.876751843964676,-96.88338383
,commercial,78244.09340519914,"Dallas County, Texas",32.745411496378836,-96.82197242
,commercial,142518.94322100392,"Dallas County, Texas",32.76041010412609,-96.7852623
,commercial,27389.675932758262,"Dallas County, Texas",32.77811048891544,-96.84729483
,commercial,40812.62967339042,"Dallas County, Texas",32.79538870826822,-96.82032425
The International,commercial,174516.56271492672,"Dallas County, Texas",32.79266434882347,-96.8265267
,commercial,57860.38473,"Dallas County, Texas",32.79979188554051,-96.83759044
,commercial,42792.092800655475,"Dallas County, Texas",32.80318865810432,-96.7541389
,commercial,55739.706323657774,"Dallas County, Texas",32.802443083993595,-96.75367256
,commercial,38766.62396056439,"Dallas County, Texas",32.853425027587974,-96.75202025
,commercial,39212.56118752609,"Dallas County, Texas",32.76466037186907,-96.87127215
,commercial,60815.32908800373,"Dallas County, Texas",32.69006683,-96.81647009
,commercial,49583.526348512525,"Dallas County, Texas",32.69079111688009,-96.81635212
,office,54566.301444496195,"Dallas County, Texas",32.91231288714998,-96.888326
,commercial,21828.55273642991,"Dallas County, Texas",32.67715346266575,-96.85767502
,commercial,64055.18984071947,"Dallas County, Texas",32.642307223572125,-96.87499678
,commercial,47694.96409491016,"Dallas County, Texas",32.650339394984705,-96.87636278
,commercial,57349.56640881134,"Dallas County, Texas",32.644640163940956,-96.88024476
,commercial,53338.02136388285,"Dallas County, Texas",32.643013660844396,-96.88025218
,industrial,74451.53343,"Dallas County, Texas",32.70065674995087,-96.74370043
,commercial,54148.168269655514,"Dallas County, Texas",32.90879915997562,-96.86105232
,commercial,88094.69525814716,"Dallas County, Texas",32.911116594614384,-96.86157026
,retail,149438.17695626794,"Dallas County, Texas",32.83603951,-96.67421833
,commercial,113561.16677097454,"Dallas County, Texas",32.84370860735287,-96.66923174
,commercial,147335.32110561518,"Dallas County, Texas",32.84399244882163,-96.68684293
,commercial,53246.95554804697,"Dallas County, Texas",32.88031927423685,-96.70142948
,commercial,42171.95611229262,"Dallas County, Texas",32.91820303765642,-96.74059018
,industrial,902017.0315335842,"Dallas County, Texas",32.91131929734914,-96.75299167
,commercial,126444.2104389074,"Dallas County, Texas",32.899822326972675,-96.77267187
,commercial,45669.40884727591,"Dallas County, Texas",32.87699266027331,-96.75949554
,commercial,31378.226467159882,"Dallas County, Texas",32.87283115228481,-96.72949191
,commercial,134792.99699680423,"Dallas County, Texas",32.87060130465827,-96.73017599
,commercial,35755.81193844888,"Dallas County, Texas",32.92781816992456,-96.95902647
,commercial,42165.36318501174,"Dallas County, Texas",32.82124992449322,-96.83744989
,commercial,25648.224752330803,"Dallas County, Texas",32.92203875,-96.80304951
,commercial,80365.22248416374,"Dallas County, Texas",32.92143190382637,-96.81433362
,commercial,34081.515307710775,"Dallas County, Texas",32.91637013,-96.80251515
,commercial,50925.602341321064,"Dallas County, Texas",32.97740600367986,-96.76117332
,commercial,58518.85590175232,"Dallas County, Texas",32.944591964968865,-96.83825348
,warehouse,125751.48178924952,"Dallas County, Texas",32.9406863,-96.8346195
,commercial,36353.28619140391,"Dallas County, Texas",32.92872866439271,-96.80078022
,commercial,313173.57221106975,"Dallas County, Texas",32.86676878825856,-96.79354524
,commercial,39454.79057445262,"Dallas County, Texas",32.799275353001256,-96.8014171
,commercial,118817.61931357121,"Dallas County, Texas",32.79459506899461,-96.8044062
Alfred Horatio Belo House,office,33674.64463,"Dallas County, Texas",32.78837300477723,-96.79871343
,warehouse,180553.71809034864,"Dallas County, Texas",32.91961747241488,-96.92424236
The Centrum,commercial,108225.82736554185,"Dallas County, Texas",32.80915346677074,-96.8077561
,commercial,24022.574728088282,"Dallas County, Texas",32.80696927519055,-96.80827826
,commercial,47048.99533,"Dallas County, Texas",32.83639380144652,-96.80560028
,commercial,30090.196800503334,"Dallas County, Texas",32.86130018578164,-96.81119488
,commercial,54079.75042480425,"Dallas County, Texas",32.86493825094828,-96.80474899
,commercial,50939.97024,"Dallas County, Texas",32.97803478863397,-96.70787057
,commercial,40707.56666078163,"Dallas County, Texas",32.95515455,-96.7132349
,commercial,46613.85529303048,"Dallas County, Texas",32.95794159002869,-96.70832955
,commercial,44201.23042761826,"Dallas County, Texas",32.95898040562181,-96.70827591
,commercial,79263.86221235368,"Dallas County, Texas",32.95988135040293,-96.70607509
,commercial,35428.55014473862,"Dallas County, Texas",32.96273320009247,-96.70990146
,commercial,53524.15592,"Dallas County, Texas",32.961322192523326,-96.70844069
,commercial,47162.34635511941,"Dallas County, Texas",32.961387214629916,-96.71462177
,commercial,52651.96336242783,"Dallas County, Texas",32.961315373126475,-96.70648278
,commercial,44390.23845249571,"Dallas County, Texas",32.96224309154989,-96.71622131
,commercial,69155.79427,"Dallas County, Texas",32.970808658799534,-96.70707676
,commercial,39894.90246314574,"Dallas County, Texas",32.96926801170842,-96.70703847
Promenade Shopping Center,commercial,167125.76453810203,"Dallas County, Texas",32.95520054064879,-96.76809975
,office,31565.442213603546,"Dallas County, Texas",32.97274210985721,-96.72206369
,office,31776.675527314714,"Dallas County, Texas",32.97174369431906,-96.72206434
